    Time   Pump 2       LT     Flow 
     0.00    4.000    3.955    2.590
     0.10    4.000    3.955    2.590
     0.20    4.000    3.955    2.590
     0.30    4.000    3.955    2.590
     0.40    4.000    3.955    2.590
     0.50    4.000    3.955    2.590
     0.60    4.000    3.955    2.590
     0.70    4.000    3.955    2.585
     0.80    4.000    3.955    2.585
     0.90    4.000    3.955    2.585
     1.00    4.000    3.955    2.585
     1.10    4.000    3.955    2.580
     1.20    4.000    3.955    2.580
     1.30    4.000    3.955    2.580
     1.40    4.000    3.955    2.580
     1.50    4.000    3.955    2.580
     1.60    4.000    3.955    2.580
     1.70    4.000    3.955    2.575
     1.80    4.000    3.955    2.580
     1.90    4.000    3.955    2.585
     2.00    4.000    3.955    2.585
     2.10    4.000    3.955    2.580
     2.20    4.000    3.955    2.585
     2.30    4.000    3.955    2.585
     2.40    4.000    3.955    2.580
     2.50    4.000    3.955    2.580
     2.60    4.000    3.955    2.585
     2.70    4.000    3.955    2.580
     2.80    4.000    3.955    2.580
     2.90    4.000    3.955    2.580
     3.00    4.000    3.955    2.585
     3.10    4.000    3.955    2.585
     3.20    4.000    3.955    2.585
     3.30    4.000    3.955    2.585
     3.40    4.000    3.955    2.585
     3.50    4.000    3.960    2.585
     3.60    4.000    3.960    2.585
     3.70    4.000    3.960    2.585
     3.80    4.000    3.960    2.590
     3.90    4.000    3.960    2.585
     4.00    4.000    3.960    2.590
     4.10    4.000    3.960    2.585
     4.20    4.000    3.960    2.585
     4.30    4.000    3.960    2.590
     4.40    4.000    3.960    2.590
     4.50    4.000    3.960    2.585
     4.60    4.000    3.960    2.585
     4.70    4.000    3.960    2.585
     4.80    4.000    3.960    2.585
     4.90    4.000    3.960    2.585
     5.00    4.000    3.960    2.585
     5.10    4.000    3.960    2.585
     5.20    4.000    3.960    2.585
     5.30    4.000    3.960    2.585
     5.40    4.000    3.960    2.585
     5.50    4.000    3.960    2.585
     5.60    4.000    3.960    2.585
     5.70    4.000    3.960    2.585
     5.80    4.000    3.960    2.585
     5.90    4.000    3.960    2.585
     6.00    4.000    3.960    2.585
     6.10    4.000    3.960    2.585
     6.20    4.000    3.960    2.590
     6.30    4.000    3.960    2.590
     6.40    4.000    3.960    2.590
     6.50    4.000    3.960    2.590
     6.60    4.000    3.960    2.590
     6.70    4.000    3.960    2.590
     6.80    4.000    3.960    2.590
     6.90    4.000    3.960    2.590
     7.00    4.000    3.960    2.590
     7.10    4.000    3.960    2.590
     7.20    4.000    3.960    2.590
     7.30    4.000    3.960    2.590
     7.40    4.000    3.960    2.590
     7.50    4.000    3.960    2.590
     7.60    4.000    3.960    2.590
     7.70    4.000    3.960    2.590
     7.80    4.000    3.960    2.590
     7.90    4.000    3.960    2.585
     8.00    4.000    3.960    2.585
     8.10    4.000    3.960    2.590
     8.20    4.000    3.960    2.590
     8.30    4.000    3.960    2.590
     8.40    4.000    3.960    2.590
     8.50    4.000    3.960    2.590
     8.60    4.000    3.960    2.590
     8.70    4.000    3.960    2.590
     8.80    4.000    3.960    2.595
     8.90    4.000    3.960    2.595
     9.00    4.000    3.960    2.590
     9.10    4.000    3.960    2.590
     9.20    4.000    3.960    2.590
     9.30    4.000    3.960    2.585
     9.40    4.000    3.960    2.585
     9.50    4.000    3.960    2.590
     9.60    4.000    3.960    2.590
     9.70    4.000    3.960    2.590
     9.80    4.000    3.960    2.590
     9.90    4.000    3.960    2.590
    10.00    4.000    3.960    2.590
    10.10    4.000    3.965    2.590
    10.20    4.000    3.960    2.590
    10.30    4.000    3.960    2.590
    10.40    4.000    3.960    2.590
    10.50    4.000    3.960    2.590
    10.60    4.000    3.960    2.585
    10.70    4.000    3.965    2.585
    10.80    4.000    3.960    2.585
    10.90    4.000    3.960    2.585
    11.00    4.000    3.960    2.585
    11.10    4.000    3.960    2.585
    11.20    4.000    3.965    2.585
    11.30    4.000    3.965    2.585
    11.40    4.000    3.965    2.585
    11.50    4.000    3.965    2.585
    11.60    4.000    3.965    2.585
    11.70    4.000    3.960    2.585
    11.80    4.000    3.965    2.585
    11.90    4.000    3.960    2.585
    12.00    4.000    3.960    2.585
    12.10    4.000    3.960    2.580
    12.20    4.000    3.965    2.580
    12.30    4.000    3.965    2.580
    12.40    4.000    3.965    2.580
    12.50    4.000    3.965    2.580
    12.60    4.000    3.965    2.580
    12.70    4.000    3.965    2.580
    12.80    4.000    3.965    2.580
    12.90    4.000    3.965    2.580
    13.00    4.000    3.965    2.580
    13.10    4.000    3.965    2.580
    13.20    4.000    3.965    2.580
    13.30    4.000    3.960    2.580
    13.40    4.000    3.965    2.580
    13.50    4.000    3.965    2.580
    13.60    4.000    3.965    2.580
    13.70    4.000    3.965    2.580
    13.80    4.000    3.965    2.580
    13.90    4.000    3.965    2.580
    14.00    4.000    3.965    2.585
    14.10    4.000    3.965    2.585
    14.20    4.100    3.965    2.585
    14.30    4.100    3.965    2.585
    14.40    4.200    3.965    2.585
    14.50    4.200    3.965    2.585
    14.60    4.300    3.965    2.585
    14.70    4.300    3.965    2.590
    14.80    4.400    3.965    2.590
    14.90    4.400    3.965    2.595
    15.00    4.400    3.965    2.600
    15.10    4.400    3.965    2.610
    15.20    4.400    3.970    2.615
    15.30    4.500    3.970    2.615
    15.40    4.500    3.970    2.620
    15.50    4.500    3.970    2.630
    15.60    4.500    3.970    2.630
    15.70    4.500    3.970    2.635
    15.80    4.500    3.970    2.645
    15.90    4.500    3.970    2.645
    16.00    4.500    3.970    2.650
    16.10    4.500    3.975    2.660
    16.20    4.500    3.975    2.665
    16.30    4.500    3.975    2.670
    16.40    4.500    3.975    2.675
    16.50    4.500    3.975    2.680
    16.60    4.500    3.980    2.685
    16.70    4.500    3.980    2.690
    16.80    4.500    3.980    2.695
    16.90    4.500    3.980    2.700
    17.00    4.500    3.985    2.705
    17.10    4.500    3.985    2.705
    17.20    4.500    3.990    2.710
    17.30    4.500    3.990    2.710
    17.40    4.500    3.990    2.715
    17.50    4.500    3.990    2.720
    17.60    4.500    3.995    2.720
    17.70    4.500    3.995    2.725
    17.80    4.500    4.000    2.730
    17.90    4.500    4.000    2.730
    18.00    4.500    4.000    2.730
    18.10    4.500    4.005    2.735
    18.20    4.500    4.005    2.735
    18.30    4.500    4.005    2.735
    18.40    4.500    4.010    2.740
    18.50    4.500    4.010    2.745
    18.60    4.500    4.010    2.745
    18.70    4.500    4.010    2.745
    18.80    4.500    4.015    2.750
    18.90    4.500    4.015    2.750
    19.00    4.500    4.015    2.750
    19.10    4.500    4.015    2.755
    19.20    4.500    4.020    2.755
    19.30    4.500    4.020    2.760
    19.40    4.500    4.020    2.760
    19.50    4.500    4.025    2.760
    19.60    4.500    4.025    2.760
    19.70    4.500    4.025    2.765
    19.80    4.500    4.030    2.765
    19.90    4.500    4.030    2.765
    20.00    4.500    4.030    2.765
    20.10    4.500    4.030    2.770
    20.20    4.500    4.030    2.770
    20.30    4.500    4.030    2.765
    20.40    4.500    4.035    2.770
    20.50    4.500    4.035    2.770
    20.60    4.500    4.035    2.770
    20.70    4.500    4.040    2.775
    20.80    4.500    4.040    2.775
    20.90    4.500    4.040    2.775
    21.00    4.500    4.045    2.775
    21.10    4.500    4.045    2.775
    21.20    4.500    4.045    2.775
    21.30    4.500    4.045    2.775
    21.40    4.500    4.045    2.780
    21.50    4.500    4.045    2.775
    21.60    4.500    4.050    2.775
    21.70    4.500    4.050    2.775
    21.80    4.500    4.050    2.775
    21.90    4.500    4.050    2.780
    22.00    4.500    4.055    2.780
    22.10    4.500    4.055    2.780
    22.20    4.500    4.055    2.780
    22.30    4.500    4.060    2.780
    22.40    4.500    4.060    2.780
    22.50    4.500    4.065    2.780
    22.60    4.500    4.065    2.780
    22.70    4.500    4.065    2.780
    22.80    4.500    4.065    2.780
    22.90    4.500    4.070    2.780
    23.00    4.500    4.070    2.780
    23.10    4.500    4.070    2.780
    23.20    4.500    4.070    2.780
    23.30    4.500    4.075    2.780
    23.40    4.500    4.075    2.780
    23.50    4.500    4.075    2.785
    23.60    4.500    4.075    2.785
    23.70    4.500    4.080    2.785
    23.80    4.500    4.080    2.785
    23.90    4.500    4.080    2.785
    24.00    4.500    4.085    2.785
    24.10    4.500    4.085    2.785
    24.20    4.500    4.085    2.790
    24.30    4.500    4.085    2.785
    24.40    4.500    4.090    2.785
    24.50    4.500    4.090    2.785
    24.60    4.500    4.090    2.785
    24.70    4.500    4.090    2.785
    24.80    4.500    4.095    2.785
    24.90    4.500    4.095    2.785
    25.00    4.500    4.095    2.785
    25.10    4.500    4.095    2.785
    25.20    4.500    4.100    2.785
    25.30    4.500    4.100    2.790
    25.40    4.500    4.100    2.790
    25.50    4.500    4.105    2.790
    25.60    4.500    4.105    2.790
    25.70    4.500    4.105    2.790
    25.80    4.500    4.110    2.790
    25.90    4.500    4.110    2.790
    26.00    4.500    4.110    2.790
    26.10    4.500    4.115    2.790
    26.20    4.500    4.115    2.790
    26.30    4.500    4.115    2.790
    26.40    4.500    4.120    2.790
    26.50    4.500    4.120    2.790
    26.60    4.500    4.120    2.790
    26.70    4.500    4.120    2.790
    26.80    4.500    4.125    2.790
    26.90    4.500    4.125    2.790
    27.00    4.500    4.125    2.790
    27.10    4.500    4.130    2.790
    27.20    4.500    4.130    2.790
    27.30    4.500    4.130    2.790
    27.40    4.500    4.130    2.790
    27.50    4.500    4.135    2.785
    27.60    4.500    4.135    2.785
    27.70    4.500    4.135    2.785
    27.80    4.500    4.135    2.785
    27.90    4.500    4.140    2.785
    28.00    4.500    4.140    2.785
    28.10    4.500    4.140    2.785
    28.20    4.500    4.145    2.790
    28.30    4.500    4.145    2.790
    28.40    4.500    4.145    2.795
    28.50    4.500    4.145    2.790
    28.60    4.500    4.150    2.795
    28.70    4.500    4.150    2.790
    28.80    4.500    4.150    2.790
    28.90    4.500    4.150    2.790
    29.00    4.500    4.150    2.790
    29.10    4.500    4.155    2.795
    29.20    4.500    4.155    2.795
    29.30    4.500    4.155    2.795
    29.40    4.500    4.155    2.790
    29.50    4.500    4.160    2.790
    29.60    4.500    4.160    2.790
    29.70    4.500    4.160    2.790
    29.80    4.500    4.160    2.790
    29.90    4.500    4.165    2.790
    30.00    4.500    4.165    2.790
    30.10    4.500    4.165    2.790
    30.20    4.500    4.170    2.790
    30.30    4.500    4.170    2.790
    30.40    4.500    4.170    2.790
    30.50    4.500    4.170    2.795
    30.60    4.500    4.175    2.795
    30.70    4.500    4.175    2.795
    30.80    4.500    4.175    2.795
    30.90    4.500    4.175    2.795
    31.00    4.500    4.180    2.790
    31.10    4.500    4.180    2.790
    31.20    4.500    4.180    2.790
    31.30    4.500    4.180    2.790
    31.40    4.500    4.185    2.790
    31.50    4.500    4.185    2.790
    31.60    4.500    4.185    2.790
    31.70    4.500    4.190    2.790
    31.80    4.500    4.190    2.790
    31.90    4.500    4.190    2.795
    32.00    4.500    4.195    2.795
    32.10    4.500    4.195    2.795
    32.20    4.500    4.195    2.800
    32.30    4.500    4.195    2.800
    32.40    4.500    4.200    2.800
    32.50    4.500    4.200    2.800
    32.60    4.500    4.200    2.800
    32.70    4.500    4.200    2.800
    32.80    4.500    4.205    2.800
    32.90    4.500    4.205    2.800
    33.00    4.500    4.205    2.800
    33.10    4.500    4.210    2.800
    33.20    4.500    4.210    2.800
    33.30    4.500    4.210    2.800
    33.40    4.500    4.210    2.805
    33.50    4.500    4.210    2.800
    33.60    4.500    4.215    2.800
    33.70    4.500    4.215    2.800
    33.80    4.500    4.215    2.800
    33.90    4.500    4.215    2.800
    34.00    4.500    4.220    2.800
    34.10    4.500    4.220    2.800
    34.20    4.500    4.220    2.800
    34.30    4.500    4.220    2.800
    34.40    4.500    4.225    2.800
    34.50    4.500    4.225    2.800
    34.60    4.500    4.225    2.800
    34.70    4.500    4.230    2.800
    34.80    4.500    4.230    2.800
    34.90    4.500    4.230    2.800
    35.00    4.500    4.230    2.800
    35.10    4.500    4.235    2.800
    35.20    4.500    4.235    2.800
    35.30    4.500    4.235    2.800
    35.40    4.500    4.235    2.800
    35.50    4.500    4.235    2.800
    35.60    4.500    4.240    2.795
    35.70    4.500    4.240    2.795
    35.80    4.500    4.240    2.795
    35.90    4.500    4.240    2.800
    36.00    4.500    4.245    2.800
    36.10    4.500    4.245    2.800
    36.20    4.500    4.250    2.800
    36.30    4.500    4.250    2.800
    36.40    4.500    4.250    2.800
    36.50    4.500    4.255    2.800
    36.60    4.500    4.255    2.800
    36.70    4.500    4.255    2.800
    36.80    4.500    4.260    2.800
    36.90    4.500    4.260    2.800
    37.00    4.500    4.260    2.800
    37.10    4.500    4.260    2.800
    37.20    4.500    4.265    2.800
    37.30    4.500    4.265    2.800
    37.40    4.500    4.265    2.800
    37.50    4.500    4.265    2.800
    37.60    4.500    4.270    2.795
    37.70    4.500    4.270    2.795
    37.80    4.500    4.270    2.795
    37.90    4.500    4.270    2.795
    38.00    4.500    4.270    2.795
    38.10    4.500    4.275    2.795
    38.20    4.500    4.275    2.795
    38.30    4.500    4.275    2.795
    38.40    4.500    4.275    2.795
    38.50    4.500    4.280    2.795
    38.60    4.500    4.280    2.795
    38.70    4.500    4.280    2.795
    38.80    4.500    4.280    2.795
    38.90    4.500    4.280    2.795
    39.00    4.500    4.285    2.795
    39.10    4.500    4.285    2.795
    39.20    4.500    4.285    2.795
    39.30    4.500    4.285    2.795
    39.40    4.500    4.290    2.795
    39.50    4.500    4.290    2.795
    39.60    4.500    4.290    2.800
    39.70    4.500    4.290    2.800
    39.80    4.500    4.295    2.800
    39.90    4.500    4.295    2.800
    40.00    4.500    4.295    2.800
    40.10    4.500    4.295    2.805
    40.20    4.500    4.300    2.805
    40.30    4.500    4.300    2.805
    40.40    4.500    4.300    2.805
    40.50    4.500    4.305    2.800
    40.60    4.500    4.305    2.805
    40.70    4.500    4.305    2.805
    40.80    4.500    4.305    2.805
    40.90    4.500    4.310    2.805
    41.00    4.500    4.310    2.805
    41.10    4.500    4.315    2.805
    41.20    4.500    4.315    2.805
    41.30    4.500    4.315    2.805
    41.40    4.500    4.320    2.805
    41.50    4.500    4.320    2.805
    41.60    4.500    4.320    2.805
    41.70    4.500    4.320    2.805
    41.80    4.500    4.325    2.805
