    Time   Pump 2       LT     Flow 
    18.70    4.500    4.045    2.775
    18.80    4.500    4.045    2.775
    18.90    4.500    4.045    2.775
    19.00    4.500    4.050    2.775
    19.10    4.500    4.050    2.770
    19.20    4.500    4.050    2.775
    19.30    4.500    4.050    2.775
    19.40    4.500    4.050    2.775
    19.50    4.500    4.055    2.775
    19.60    4.500    4.055    2.775
    19.70    4.500    4.055    2.775
    19.80    4.500    4.055    2.780
    19.90    4.500    4.060    2.780
    20.00    4.500    4.060    2.775
    20.10    4.500    4.060    2.775
    20.20    4.500    4.060    2.780
    20.30    4.500    4.060    2.780
    20.40    4.500    4.060    2.780
    20.50    4.500    4.060    2.780
    20.60    4.500    4.060    2.780
    20.70    4.500    4.060    2.775
    20.80    4.500    4.065    2.775
    20.90    4.500    4.065    2.775
    21.00    4.500    4.065    2.775
    21.10    4.500    4.065    2.775
    21.20    4.500    4.070    2.775
    21.30    4.500    4.070    2.775
    21.40    4.500    4.070    2.775
    21.50    4.500    4.075    2.775
    21.60    4.500    4.075    2.775
    21.70    4.500    4.075    2.775
    21.80    4.500    4.075    2.775
    21.90    4.500    4.075    2.775
    22.00    4.500    4.075    2.775
    22.10    4.500    4.075    2.770
    22.20    4.500    4.080    2.775
    22.30    4.500    4.080    2.775
    22.40    4.500    4.080    2.770
    22.50    4.500    4.080    2.770
    22.60    4.500    4.080    2.770
    22.70    4.500    4.085    2.770
    22.80    4.500    4.085    2.770
    22.90    4.500    4.085    2.770
    23.00    4.500    4.090    2.770
    23.10    4.500    4.090    2.770
    23.20    4.500    4.090    2.770
    23.30    4.500    4.090    2.770
    23.40    4.500    4.090    2.770
    23.50    4.500    4.095    2.770
    23.60    4.500    4.095    2.770
    23.70    4.500    4.095    2.770
    23.80    4.500    4.095    2.770
    23.90    4.500    4.100    2.770
    24.00    4.500    4.100    2.770
    24.10    4.500    4.100    2.770
    24.20    4.500    4.100    2.770
    24.30    4.500    4.100    2.770
    24.40    4.500    4.100    2.770
    24.50    4.500    4.105    2.770
    24.60    4.500    4.105    2.770
    24.70    4.500    4.105    2.770
    24.80    4.500    4.105    2.770
    24.90    4.500    4.105    2.765
    25.00    4.500    4.110    2.765
    25.10    4.500    4.110    2.765
    25.20    4.500    4.110    2.765
    25.30    4.500    4.110    2.765
    25.40    4.500    4.115    2.765
    25.50    4.500    4.115    2.765
    25.60    4.500    4.115    2.765
    25.70    4.500    4.115    2.765
    25.80    4.500    4.115    2.765
    25.90    4.500    4.115    2.765
    26.00    4.500    4.120    2.765
    26.10    4.500    4.120    2.770
    26.20    4.500    4.120    2.770
    26.30    4.500    4.120    2.775
    26.40    4.500    4.125    2.770
    26.50    4.500    4.125    2.770
    26.60    4.500    4.125    2.770
    26.70    4.500    4.125    2.770
    26.80    4.500    4.125    2.770
    26.90    4.500    4.125    2.770
    27.00    4.500    4.125    2.770
    27.10    4.500    4.130    2.770
    27.20    4.500    4.130    2.775
    27.30    4.500    4.130    2.775
    27.40    4.500    4.135    2.775
    27.50    4.500    4.135    2.775
    27.60    4.500    4.135    2.775
    27.70    4.500    4.135    2.775
    27.80    4.500    4.135    2.775
    27.90    4.500    4.140    2.775
    28.00    4.500    4.140    2.775
    28.10    4.500    4.140    2.780
    28.20    4.500    4.140    2.780
    28.30    4.500    4.145    2.780
    28.40    4.500    4.145    2.780
    28.50    4.500    4.145    2.780
    28.60    4.500    4.145    2.780
    28.70    4.500    4.145    2.780
    28.80    4.500    4.150    2.780
    28.90    4.500    4.150    2.785
    29.00    4.500    4.150    2.785
    29.10    4.500    4.150    2.785
    29.20    4.500    4.150    2.780
    29.30    4.500    4.155    2.780
    29.40    4.500    4.155    2.785
    29.50    4.500    4.155    2.785
    29.60    4.500    4.155    2.785
    29.70    4.500    4.155    2.785
    29.80    4.500    4.155    2.785
    29.90    4.500    4.160    2.785
    30.00    4.500    4.160    2.785
    30.10    4.500    4.160    2.785
    30.20    4.500    4.160    2.785
    30.30    4.500    4.160    2.785
    30.40    4.500    4.160    2.785
    30.50    4.500    4.160    2.785
    30.60    4.500    4.165    2.785
    30.70    4.500    4.165    2.780
    30.80    4.500    4.165    2.785
    30.90    4.500    4.165    2.780
    31.00    4.500    4.170    2.785
    31.10    4.500    4.170    2.785
    31.20    4.500    4.170    2.785
    31.30    4.500    4.170    2.780
    31.40    4.500    4.175    2.780
    31.50    4.500    4.175    2.780
    31.60    4.500    4.175    2.780
    31.70    4.500    4.175    2.780
    31.80    4.500    4.180    2.780
    31.90    4.500    4.180    2.780
    32.00    4.500    4.180    2.780
    32.10    4.500    4.180    2.780
    32.20    4.500    4.180    2.780
    32.30    4.500    4.185    2.780
    32.40    4.500    4.185    2.780
    32.50    4.500    4.185    2.780
    32.60    4.500    4.190    2.775
    32.70    4.500    4.190    2.775
    32.80    4.500    4.190    2.775
    32.90    4.500    4.190    2.775
    33.00    4.500    4.190    2.775
    33.10    4.500    4.195    2.775
    33.20    4.500    4.195    2.775
    33.30    4.500    4.195    2.775
    33.40    4.500    4.195    2.780
    33.50    4.500    4.195    2.775
    33.60    4.500    4.195    2.775
    33.70    4.500    4.195    2.775
    33.80    4.500    4.200    2.775
    33.90    4.500    4.200    2.775
    34.00    4.500    4.200    2.775
    34.10    4.500    4.200    2.775
    34.20    4.500    4.205    2.775
    34.30    4.500    4.205    2.780
    34.40    4.500    4.205    2.780
    34.50    4.500    4.205    2.780
    34.60    4.500    4.205    2.780
    34.70    4.500    4.205    2.780
    34.80    4.500    4.205    2.775
    34.90    4.500    4.210    2.775
    35.00    4.500    4.210    2.770
    35.10    4.500    4.210    2.770
    35.20    4.500    4.210    2.775
    35.30    4.500    4.210    2.775
    35.40    4.500    4.215    2.775
    35.50    4.500    4.215    2.770
    35.60    4.500    4.215    2.770
    35.70    4.500    4.215    2.770
    35.80    4.500    4.220    2.770
    35.90    4.500    4.220    2.765
    36.00    4.500    4.220    2.765
    36.10    4.500    4.220    2.765
    36.20    4.500    4.220    2.760
    36.30    4.500    4.220    2.760
    36.40    4.500    4.225    2.760
    36.50    4.500    4.225    2.765
    36.60    4.500    4.225    2.765
    36.70    4.500    4.225    2.765
    36.80    4.500    4.230    2.765
    36.90    4.500    4.230    2.765
    37.00    4.500    4.230    2.765
    37.10    4.500    4.230    2.765
    37.20    4.500    4.230    2.765
    37.30    4.500    4.230    2.770
    37.40    4.500    4.235    2.770
    37.50    4.500    4.235    2.770
    37.60    4.500    4.235    2.770
    37.70    4.500    4.235    2.770
    37.80    4.500    4.235    2.775
    37.90    4.500    4.235    2.770
    38.00    4.500    4.240    2.770
    38.10    4.500    4.240    2.770
    38.20    4.500    4.240    2.770
    38.30    4.500    4.240    2.770
    38.40    4.500    4.245    2.770
    38.50    4.500    4.245    2.770
    38.60    4.500    4.245    2.765
    38.70    4.500    4.245    2.770
    38.80    4.500    4.250    2.765
    38.90    4.500    4.250    2.765
    39.00    4.500    4.250    2.765
    39.10    4.500    4.255    2.765
    39.20    4.500    4.255    2.765
    39.30    4.500    4.255    2.765
    39.40    4.500    4.260    2.765
    39.50    4.500    4.260    2.765
    39.60    4.500    4.260    2.765
    39.70    4.500    4.260    2.765
    39.80    4.500    4.265    2.765
    39.90    4.500    4.265    2.765
    40.00    4.500    4.265    2.765
    40.10    4.500    4.265    2.765
    40.20    4.500    4.265    2.765
    40.30    4.500    4.270    2.765
    40.40    4.500    4.270    2.765
    40.50    4.500    4.270    2.765
    40.60    4.500    4.270    2.765
    40.70    4.500    4.270    2.765
    40.80    4.500    4.270    2.765
    40.90    4.500    4.275    2.765
    41.00    4.500    4.275    2.765
    41.10    4.500    4.275    2.765
    41.20    4.500    4.275    2.765
    41.30    4.500    4.275    2.765
    41.40    4.500    4.280    2.765
    41.50    4.500    4.280    2.765
    41.60    4.500    4.280    2.765
    41.70    4.500    4.280    2.760
    41.80    4.500    4.280    2.760
    41.90    4.500    4.280    2.760
    42.00    4.500    4.285    2.760
    42.10    4.500    4.285    2.760
    42.20    4.500    4.285    2.760
    42.30    4.500    4.285    2.755
    42.40    4.500    4.290    2.755
    42.50    4.500    4.290    2.755
    42.60    4.500    4.290    2.760
    42.70    4.500    4.290    2.755
    42.80    4.500    4.290    2.755
    42.90    4.500    4.290    2.755
    43.00    4.500    4.290    2.760
    43.10    4.500    4.295    2.760
    43.20    4.500    4.295    2.760
    43.30    4.500    4.295    2.760
    43.40    4.500    4.295    2.765
    43.50    4.500    4.295    2.765
    43.60    4.500    4.295    2.760
    43.70    4.500    4.295    2.760
    43.80    4.500    4.300    2.760
    43.90    4.500    4.300    2.760
    44.00    4.500    4.300    2.760
    44.10    4.500    4.300    2.765
    44.20    4.500    4.305    2.765
    44.30    4.500    4.305    2.765
    44.40    4.500    4.305    2.760
    44.50    4.500    4.305    2.765
    44.60    4.500    4.310    2.765
    44.70    4.500    4.310    2.765
    44.80    4.500    4.310    2.765
    44.90    4.500    4.310    2.765
    45.00    4.500    4.310    2.765
    45.10    4.500    4.310    2.765
    45.20    4.500    4.315    2.765
    45.30    4.500    4.315    2.765
    45.40    4.500    4.315    2.765
    45.50    4.500    4.315    2.765
    45.60    4.500    4.315    2.765
    45.70    4.500    4.320    2.765
    45.80    4.500    4.320    2.765
    45.90    4.500    4.320    2.765
    46.00    4.500    4.320    2.765
    46.10    4.500    4.320    2.765
    46.20    4.500    4.320    2.765
    46.30    4.500    4.325    2.765
    46.40    4.500    4.325    2.765
    46.50    4.500    4.325    2.765
    46.60    4.500    4.325    2.765
    46.70    4.500    4.325    2.765
    46.80    4.500    4.325    2.765
    46.90    4.500    4.325    2.765
    47.00    4.500    4.325    2.765
    47.10    4.500    4.330    2.765
    47.20    4.500    4.330    2.765
    47.30    4.500    4.330    2.765
    47.40    4.500    4.330    2.765
    47.50    4.500    4.330    2.765
    47.60    4.500    4.335    2.765
    47.70    4.500    4.335    2.765
    47.80    4.500    4.335    2.765
    47.90    4.500    4.335    2.765
    48.00    4.500    4.340    2.760
    48.10    4.500    4.340    2.760
    48.20    4.500    4.340    2.760
    48.30    4.500    4.340    2.760
    48.40    4.500    4.340    2.760
    48.50    4.500    4.340    2.760
    48.60    4.500    4.345    2.765
    48.70    4.500    4.345    2.765
    48.80    4.500    4.345    2.765
    48.90    4.500    4.345    2.765
    49.00    4.500    4.345    2.765
    49.10    4.500    4.345    2.765
    49.20    4.500    4.345    2.770
    49.30    4.500    4.350    2.770
    49.40    4.500    4.350    2.770
    49.50    4.500    4.350    2.770
    49.60    4.500    4.350    2.770
    49.70    4.500    4.350    2.765
    49.80    4.500    4.350    2.765
    49.90    4.500    4.350    2.765
    50.00    4.500    4.355    2.765
    50.10    4.500    4.355    2.765
    50.20    4.500    4.355    2.770
    50.30    4.500    4.355    2.770
    50.40    4.500    4.360    2.770
    50.50    4.500    4.360    2.770
    50.60    4.500    4.360    2.770
    50.70    4.500    4.360    2.765
    50.80    4.500    4.360    2.765
    50.90    4.500    4.365    2.765
    51.00    4.500    4.365    2.765
    51.10    4.500    4.365    2.765
    51.20    4.500    4.365    2.765
    51.30    4.500    4.365    2.765
    51.40    4.500    4.365    2.765
    51.50    4.500    4.370    2.765
    51.60    4.500    4.370    2.765
    51.70    4.500    4.370    2.765
    51.80    4.500    4.370    2.765
    51.90    4.500    4.370    2.765
    52.00    4.500    4.375    2.765
    52.10    4.500    4.375    2.765
    52.20    4.500    4.375    2.765
    52.30    4.500    4.375    2.760
    52.40    4.500    4.380    2.765
    52.50    4.500    4.380    2.765
    52.60    4.500    4.380    2.765
    52.70    4.500    4.380    2.760
    52.80    4.500    4.380    2.760
    52.90    4.500    4.380    2.760
    53.00    4.500    4.385    2.760
    53.10    4.500    4.385    2.760
    53.20    4.500    4.385    2.760
    53.30    4.500    4.385    2.760
    53.40    4.500    4.385    2.760
    53.50    4.500    4.385    2.765
    53.60    4.500    4.390    2.760
    53.70    4.500    4.390    2.760
    53.80    4.500    4.390    2.765
    53.90    4.500    4.390    2.765
    54.00    4.500    4.390    2.765
    54.10    4.500    4.390    2.765
    54.20    4.500    4.395    2.765
    54.30    4.500    4.395    2.765
    54.40    4.500    4.395    2.765
    54.50    4.500    4.395    2.765
    54.60    4.500    4.395    2.760
    54.70    4.500    4.400    2.760
    54.80    4.500    4.400    2.760
    54.90    4.500    4.400    2.755
    55.00    4.500    4.400    2.755
    55.10    4.500    4.400    2.755
    55.20    4.500    4.400    2.755
    55.30    4.500    4.400    2.755
    55.40    4.500    4.400    2.755
    55.50    4.500    4.405    2.755
    55.60    4.500    4.405    2.755
    55.70    4.500    4.405    2.755
    55.80    4.500    4.405    2.755
    55.90    4.500    4.410    2.760
    56.00    4.500    4.410    2.760
    56.10    4.500    4.410    2.760
    56.20    4.500    4.410    2.755
    56.30    4.500    4.410    2.755
    56.40    4.500    4.415    2.755
    56.50    4.500    4.415    2.755
    56.60    4.500    4.415    2.755
    56.70    4.500    4.415    2.755
    56.80    4.500    4.415    2.760
    56.90    4.500    4.415    2.755
    57.00    4.500    4.415    2.755
    57.10    4.500    4.420    2.755
    57.20    4.500    4.420    2.760
    57.30    4.500    4.420    2.760
    57.40    4.500    4.420    2.760
    57.50    4.500    4.420    2.760
    57.60    4.500    4.420    2.755
    57.70    4.500    4.420    2.755
    57.80    4.500    4.420    2.755
    57.90    4.500    4.425    2.755
    58.00    4.500    4.425    2.755
    58.10    4.500    4.425    2.755
    58.20    4.500    4.425    2.760
    58.30    4.500    4.425    2.760
    58.40    4.500    4.425    2.760
    58.50    4.500    4.425    2.760
    58.60    4.500    4.430    2.760
    58.70    4.500    4.430    2.760
    58.80    4.500    4.430    2.760
    58.90    4.500    4.430    2.760
    59.00    4.500    4.430    2.760
    59.10    4.500    4.435    2.760
    59.20    4.500    4.435    2.760
    59.30    4.500    4.435    2.760
    59.40    4.500    4.435    2.755
    59.50    4.500    4.435    2.760
    59.60    4.500    4.435    2.760
    59.70    4.500    4.440    2.755
    59.80    4.500    4.440    2.755
    59.90    4.500    4.440    2.760
    60.00    4.500    4.440    2.760
    60.10    4.500    4.445    2.760
    60.20    4.500    4.445    2.765
    60.30    4.500    4.445    2.760
    60.40    4.500    4.445    2.760
    60.50    4.500    4.445    2.760
    60.60    4.500    4.450    2.765
    60.70    4.500    4.450    2.760
    60.80    4.500    4.450    2.765
    60.90    4.500    4.450    2.765
    61.00    4.500    4.450    2.765
    61.10    4.500    4.455    2.765
    61.20    4.500    4.455    2.765
    61.30    4.500    4.455    2.765
    61.40    4.500    4.455    2.760
    61.50    4.500    4.455    2.760
    61.60    4.500    4.455    2.760
    61.70    4.500    4.455    2.760
    61.80    4.500    4.455    2.755
    61.90    4.500    4.455    2.755
    62.00    4.500    4.460    2.755
    62.10    4.500    4.460    2.760
    62.20    4.500    4.460    2.760
    62.30    4.500    4.460    2.760
    62.40    4.500    4.460    2.760
    62.50    4.500    4.460    2.755
    62.60    4.500    4.465    2.755
    62.70    4.500    4.465    2.755
    62.80    4.500    4.465    2.760
    62.90    4.500    4.465    2.755
    63.00    4.500    4.470    2.760
    63.10    4.500    4.470    2.760
    63.20    4.500    4.470    2.760
    63.30    4.500    4.470    2.760
    63.40    4.500    4.470    2.760
    63.50    4.500    4.470    2.760
    63.60    4.500    4.475    2.760
    63.70    4.500    4.475    2.760
    63.80    4.500    4.475    2.760
    63.90    4.500    4.475    2.760
    64.00    4.500    4.475    2.760
    64.10    4.500    4.475    2.755
    64.20    4.500    4.475    2.755
    64.30    4.500    4.475    2.760
    64.40    4.500    4.480    2.760
    64.50    4.500    4.480    2.760
    64.60    4.500    4.480    2.760
    64.70    4.500    4.480    2.765
    64.80    4.500    4.480    2.765
    64.90    4.500    4.480    2.765
    65.00    4.500    4.480    2.765
    65.10    4.500    4.485    2.765
    65.20    4.500    4.485    2.765
    65.30    4.500    4.485    2.765
    65.40    4.500    4.485    2.765
    65.50    4.500    4.485    2.765
    65.60    4.500    4.485    2.765
    65.70    4.500    4.485    2.765
    65.80    4.500    4.485    2.765
    65.90    4.500    4.490    2.765
    66.00    4.500    4.490    2.760
    66.10    4.500    4.490    2.760
    66.20    4.500    4.490    2.760
    66.30    4.500    4.490    2.760
    66.40    4.500    4.495    2.760
    66.50    4.500    4.495    2.760
    66.60    4.500    4.495    2.760
    66.70    4.500    4.495    2.760
    66.80    4.500    4.495    2.760
    66.90    4.500    4.495    2.760
    67.00    4.500    4.495    2.765
    67.10    4.500    4.495    2.765
    67.20    4.500    4.500    2.760
    67.30    4.500    4.500    2.760
    67.40    4.500    4.500    2.760
    67.50    4.500    4.500    2.760
    67.60    4.500    4.500    2.760
    67.70    4.500    4.500    2.755
    67.80    4.500    4.500    2.755
    67.90    4.500    4.505    2.760
    68.00    4.500    4.505    2.760
    68.10    4.500    4.505    2.760
