16694.66,0.00194,822.48
8469.99,0.00382,822.42
5888.255,0.0055,822.37
4398.137,0.00736,822.31
33655.65,0.00096,822.51
16929.25,0.00191,822.48
11405.06,0.00284,822.45
8745.623,0.0037,822.43
49748.83,0.00065,822.53
25041.24,0.00129,822.5
17293.08,0.00187,822.49
14117.66,0.00229,822.48
16813.53,0.00193,822.45
8522.872,0.0038,822.40
5782.622,0.0056,822.35
4410.945,0.00734,822.32
33339.7,0.00097,822.51
16817.97,0.00193,822.44
11383.96,0.00284,822.46
8721.66,0.00371,822.40
49256.73,0.00066,822.52
24976.3,0.0013,822.5
17042.6,0.0019,822.49
13061.14,0.00248,822.47
16292.1,0.00199,822.50
8385.349,0.00386,822.46
5752.432,0.00563,822.39
4412,0.00734,822.32
32885.11,0.00098,822.51
16921.21,0.00191,822.52
11521.97,0.00281,822.46
8864.165,0.00365,822.46
49582.21,0.00065,822.52
25529.92,0.00127,822.51
17407.56,0.00186,822.49
13414.7,0.00241,822.47
