"Date","Time","Millisecond","C1","C2","Register"
"2023/09/21","10:56:31","170","0.030000","0.020000","0.000000"
"2023/09/21","10:56:33","170","0.030000","0.030000","0.000000"
"2023/09/21","10:56:35","170","0.030000","0.030000","0.000000"
"2023/09/21","10:56:37","190","0.030000","0.020000","0.000000"
"2023/09/21","10:56:39","150","0.030000","0.030000","0.000000"
"2023/09/21","10:56:41","170","0.030000","0.020000","0.000000"
"2023/09/21","10:56:43","170","0.030000","0.020000","0.000000"
"2023/09/21","10:56:45","170","0.030000","0.020000","0.000000"
"2023/09/21","10:56:47","160","0.030000","0.020000","0.000000"
"2023/09/21","10:56:49","180","0.030000","0.030000","0.000000"
"2023/09/21","10:56:51","190","0.030000","0.020000","0.000000"
"2023/09/21","10:56:53","180","0.040000","0.020000","0.000000"
"2023/09/21","10:56:55","180","0.040000","0.030000","0.000000"
"2023/09/21","10:56:57","180","0.030000","0.030000","0.000000"
"2023/09/21","10:56:59","180","0.030000","0.030000","0.000000"
"2023/09/21","10:57:01","200","0.030000","0.020000","0.000000"
"2023/09/21","10:57:03","180","0.030000","0.020000","0.000000"
"2023/09/21","10:57:05","180","0.030000","0.020000","0.000000"
"2023/09/21","10:57:07","180","0.030000","0.020000","0.000000"
"2023/09/21","10:57:09","180","0.030000","0.030000","0.000000"
"2023/09/21","10:57:11","180","0.030000","0.020000","0.000000"
"2023/09/21","10:57:13","150","0.030000","0.020000","0.000000"
"2023/09/21","10:57:15","180","0.030000","0.020000","0.000000"
"2023/09/21","10:57:17","180","0.040000","0.020000","0.000000"
"2023/09/21","10:57:19","170","0.030000","0.020000","0.000000"
"2023/09/21","10:57:21","190","0.030000","0.020000","0.000000"
"2023/09/21","10:57:23","190","0.030000","0.020000","0.000000"
"2023/09/21","10:57:25","190","0.030000","0.020000","0.000000"
"2023/09/21","10:57:27","190","0.030000","0.020000","0.000000"
"2023/09/21","10:57:29","170","0.030000","0.020000","0.000000"
"2023/09/21","10:57:31","170","0.030000","0.020000","0.000000"
"2023/09/21","10:57:33","190","0.030000","0.020000","0.000000"
"2023/09/21","10:57:35","170","0.030000","0.020000","0.000000"
"2023/09/21","10:57:37","170","0.030000","0.030000","0.000000"
"2023/09/21","10:57:39","170","0.030000","0.020000","0.000000"
"2023/09/21","10:57:41","190","0.030000","0.030000","0.000000"
"2023/09/21","10:57:43","190","0.030000","0.030000","0.000000"
"2023/09/21","10:57:45","160","0.030000","0.020000","0.000000"
"2023/09/21","10:57:47","180","0.030000","0.020000","0.000000"
"2023/09/21","10:57:49","180","0.030000","0.030000","0.000000"
"2023/09/21","10:57:51","160","0.030000","0.030000","0.000000"
"2023/09/21","10:57:53","150","0.030000","0.020000","0.000000"
"2023/09/21","10:57:55","180","0.030000","0.030000","0.000000"
"2023/09/21","10:57:57","180","0.030000","0.030000","0.000000"
"2023/09/21","10:57:59","180","0.030000","0.030000","0.000000"
"2023/09/21","10:58:01","180","0.030000","0.030000","0.000000"
"2023/09/21","10:58:03","170","0.030000","0.030000","0.000000"
"2023/09/21","10:58:05","180","0.030000","0.030000","0.000000"
"2023/09/21","10:58:07","180","0.030000","0.030000","0.000000"
"2023/09/21","10:58:09","190","0.030000","0.020000","0.000000"
"2023/09/21","10:58:11","190","0.030000","0.030000","0.000000"
"2023/09/21","10:58:13","190","0.030000","0.020000","0.000000"
"2023/09/21","10:58:15","190","0.030000","0.020000","0.000000"
"2023/09/21","10:58:17","190","0.030000","0.020000","0.000000"
"2023/09/21","10:58:19","170","0.040000","0.020000","0.000000"
"2023/09/21","10:58:21","170","0.030000","0.030000","0.000000"
"2023/09/21","10:58:23","190","0.030000","0.020000","0.000000"
"2023/09/21","10:58:25","190","0.030000","0.030000","0.000000"
"2023/09/21","10:58:27","190","0.030000","0.020000","0.000000"
"2023/09/21","10:58:29","180","0.030000","0.020000","0.000000"
"2023/09/21","10:58:31","180","0.030000","0.020000","0.000000"
"2023/09/21","10:58:33","190","0.030000","0.020000","0.000000"
"2023/09/21","10:58:35","180","0.030000","0.020000","0.000000"
"2023/09/21","10:58:37","160","0.030000","0.020000","0.000000"
"2023/09/21","10:58:39","160","0.030000","0.020000","0.000000"
"2023/09/21","10:58:41","180","0.030000","0.020000","0.000000"
"2023/09/21","10:58:43","180","0.030000","0.020000","0.000000"
"2023/09/21","10:58:45","180","0.040000","0.020000","0.000000"
"2023/09/21","10:58:47","160","0.030000","0.030000","0.000000"
"2023/09/21","10:58:49","160","0.030000","0.020000","0.000000"
"2023/09/21","10:58:51","180","0.030000","0.020000","0.000000"
"2023/09/21","10:58:53","170","0.030000","0.030000","0.000000"
"2023/09/21","10:58:55","170","0.030000","0.020000","0.000000"
